"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"2172","892-00013","892-00001","13","Black","MS","N","N","PORT","OFF","892","PortMC2"," ","0","EMBARCADERO NORTH","12553201","(37.796492, -122.394662)"
"1214","419-04246","419-04240","6","Black","MS","N","N","SFMTA","ON","0","MC5","Civic Center","424","FRANKLIN ST","5804000","(37.778726, -122.421574)"
"769","600-03162","600-03160","2","Black","MS","N","N","SFMTA","ON","0","MC2"," ","316","PACIFIC AVE","10119000","(37.797626, -122.401449)"
"828","401-02332","401-02330","2","Black","MS","N","N","SFMTA","ON","0","MC1"," ","233","ELLIS ST","5172000","(37.785084, -122.410565)"
"2052","324-05057","324-05050","7","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","505","BATTERY ST","2760000","(37.79612, -122.400624)"
"637","892-00020","892-00001","20","Black","MS","N","N","PORT","OFF","892","PortMC2"," ","0","EMBARCADERO NORTH","12553201","(37.796436, -122.394614)"
"1045","411-00300","411-00004","30","Black","MS","Y","N","SFMTA","ON","0","MC5","Civic Center","30","FELL ST","5439000","(37.776529, -122.418772)"
"696","386-02085","386-02080","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","208","DRUMM ST","4972000","(37.795823, -122.396699)"
"1246","568-02215","568-02210","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","221","MISSION ST","9085000","(37.791469, -122.395271)"
"1067","525-00206","525-00200","6","Black","MS","Y","N","SFMTA","ON","0","MC5","Downtown","20","KAPLAN LN","7741000","(37.785014, -122.399265)"
"279","561-02061","561-02060","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","206","MAIN ST","8629000","(37.790373, -122.393223)"
"1446","658-00103","658-00100","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","10","SPEAR ST","12044000","(37.79358, -122.395493)"
"1529","567-00946","567-00940","6","Black","MS","N","N","SFMTA","ON","0","MC1"," ","94","MINT ST","9064000","(37.782311, -122.407381)"
"869","606-15345","606-15340","5","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1534","PINE ST","10477000","(37.78956, -122.421502)"
"2087","501-01208","501-01200","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","120","JESSIE ST","7517000","(37.78801, -122.400954)"
"781","658-00307","658-00300","7","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","30","SPEAR ST","12044000","(37.793248, -122.395077)"
"1644","470-06325","470-06320","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","632","HOWARD ST","7035000","(37.786358, -122.398922)"
"2140","359-05325","359-05320","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","532","CLAY ST","4085000","(37.794817, -122.402566)"
"456","525-00111","525-00100","11","Black","MS","Y","N","SFMTA","ON","0","MC5","Downtown","11","KAPLAN LN","7741000","(37.785091, -122.399066)"
"884","705-06055","705-06050","5","Black","MS","N","N","SFMTA","ON","0","MC3"," ","605","VALLEJO ST","13092000","(37.798689, -122.407503)"
"2065","606-15203","606-15200","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1520","PINE ST","10477000","(37.789608, -122.421123)"
"1016","386-02034","386-02030","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","203","DRUMM ST","4972000","(37.795607, -122.396908)"
"1177","701-18293","701-18290","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1829","VAN NESS AVE","13160101","(37.79266, -122.422955)"
"224","612-17300","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1730","POLK ST","10572000","(37.793005, -122.4211)"
"609","724-02503","724-02500","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","250","WILLOW ST","13664000","(37.7832, -122.422403)"
"395","109-12410","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1241","09TH AVE","431000","(37.764755, -122.46643)"
"987","651-00202","651-00200","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","20","SANSOME ST","11542000","(37.790878, -122.400606)"
"307","418-05031","418-05030","1","Black","MS","N","N","SFMTA","ON","0","MC5","South Embarcadero","503","FOLSOM ST","5657000","(37.787097, -122.39458)"
"136","331-05810","-","0","Black","SS","Y","N","SFMTA","ON","0","MC5","South Embarcadero","581","BRYANT ST","3284000","(37.779753, -122.397664)"
"1114","524-02463","524-02460","3","Black","MS","Y","N","SFMTA","ON","0","MC5","South Embarcadero","246","KING ST","7833201","(37.777367, -122.393013)"
"564","561-00015","561-00010","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","1","MAIN ST","8627000","(37.792945, -122.396186)"
"1776","359-05406","359-05400","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","540","CLAY ST","4085000","(37.794761, -122.403005)"
"2245","442-02046","442-02040","6","Black","MS","N","N","SFMTA","ON","0","MC2"," ","204","GOLDEN GATE AVE","6261000","(37.781895, -122.414142)"
"1001","386-02074","386-02070","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","207","DRUMM ST","4972000","(37.795754, -122.396938)"
