"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"73","0","TAYLOR ST","ES","SOUTH OF PACIFIC AVE","1",,"116 TO 121 FT SOUTH OF PACIFIC AVE","1899-12-29T16:00:00.000000000-08:00","POINT (-122.413153691 37.795649214)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"13","87","15TH ST","N","E. HARRISON ST","2","196-05","FROM HARRISON ST TO 7 FEET EASTERLY","2005-04-13T17:00:00.000000000-07:00","POINT (-122.413033613 37.766838791)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"110","42","RITCH ST.","W","S. BRYANT ST.","2","173-99","FROM 71' TO 78' S. BRYANT ST., 7","1999-03-11T16:00:00.000000000-08:00","POINT (-122.395749897 37.780282157)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"60","0","OCTAVIA ST","ES","NORTH OF FRANCISCO ST","3",,"98 TO 107 FT NORTH OF FRANCISCO","1899-12-29T16:00:00.000000000-08:00","POINT (-122.42977166 37.802764554)","2018-02-09T23:59:20.000000000-08:00","Marina","2"
"86","49","TAYLOR ST.","E","S. WASHINGTON ST.","2","761-95","FROM WASHINGTON ST. TO 7' SOUTHE","1995-09-27T17:00:00.000000000-07:00","POINT (-122.412862366 37.794086309)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"49",,"DUBOCE ST","N","East of VALENCIA ST.",,"181204-153","Duboce, N side, 57 to 92 ft E of Va","2019-02-03T16:00:00.000000000-08:00","POINT (-122.422066568 37.769965658)","2019-02-08T23:09:48.000000000-08:00","Mission","9"
"90","0","08TH ST","E","E SIDE OF 8TH ST","6",,"93 FEET TO 112 FEET N. OF HERON","2007-03-05T16:00:00.000000000-08:00","POINT (-122.408801388 37.774314605)","2018-02-09T23:59:29.000000000-08:00","South of Market","6"
"37","62","04TH AVE","E","S. CORNWALL ST.","2","44-02","FROM 278' TO 286.5' S. CORNWALL","2002-01-31T16:00:00.000000000-08:00","POINT (-122.463323246 37.783813667)","2018-02-12T20:23:01.000000000-08:00","Inner Richmond","1"
"65","0","FREELON ST","N","E. OF 4TH ST","6",,"FROM 108FT TO 139 FT E. OF 4TH ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.396709405 37.779132457)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"141","5","19TH ST","N","W. LINDA ST.","3","1040-97","13' ZONE","1997-11-20T16:00:00.000000000-08:00","POINT (-122.423225916 37.760104968)","2018-02-12T20:45:44.000000000-08:00","Mission","9"
"50","0","COLERIDGE ST","W","S OF SOUTHERLY PROP.LINE","6","10-121","#88 COLERIDGE ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.419384264 37.744412546)","2018-02-09T23:59:20.000000000-08:00","Bernal Heights","9"
"24","51","TAYLOR ST.","W","S. VALLEJO ST.","1","57-97","FROM 1.5' TO 5' N. OF THE SOUT P","1997-01-30T16:00:00.000000000-08:00","POINT (-122.413803594 37.797617898)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"134","4","19TH AVE","W","N. HOLLOWAY AVE.","32","1040-97","FROM 320' TO 432' N. HOLLOWAY AV",,"POINT (-122.475381111 37.72245978)","2018-02-12T20:35:49.000000000-08:00","Lakeshore","7"
"59","0","TAYLOR ST","E","S OF CHESTNUT ST","3","10-002","E OF TAYLOR ST 13 FT S. OF CHESTNUT","2010-02-06T16:00:00.000000000-08:00","POINT (-122.41467832 37.803177779)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"107","35","PAGE ST.","N","W. FRANKLIN ST.","4",,,,"POINT (-122.421399432 37.774345661)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","6"
"125","61","24TH ST","S","W. CASTRO ST","2","44-02","FROM 258' TO 267.5'  W. CASTRO S","2002-01-31T16:00:00.000000000-08:00","POINT (-122.435004614 37.751156069)","2018-02-12T20:50:03.000000000-08:00","Noe Valley","8"
"33","0","SACRAMENTO ST","S","EAST OF LAGUNA ST","2",,"INFRONT OF 2171 SACRAMENTO ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.428630637 37.790422133)","2018-02-12T20:49:35.000000000-08:00","Pacific Heights","2"
"138","51","BROADWAY","S","E JONES ST","1","303-05","1067 BROADWAY","2005-04-17T17:00:00.000000000-07:00","POINT (-122.41478406 37.796565539)","2018-02-12T20:48:02.000000000-08:00","Nob Hill","3"
"93","0","FULTON ST","S","WEST OF GOUGH ST","4",,"459 FULTON ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.424321129 37.778490438)","2018-02-10T00:04:54.000000000-08:00","Hayes Valley","5"
"41","0","14TH ST","N","E OF BELCHER ST","6","10-065","FROM 3 TO 10 FT EAST OF BELCHER","1899-12-29T16:00:00.000000000-08:00","POINT (-122.429933255 37.767751316)","2018-02-12T21:06:10.000000000-08:00","Castro/Upper Market","8"
