"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"2","67","PIERCE ST","W","S. PAGE ST","2","684-01","FROM 39' TO 46' S. PAGE ST","2001-08-30T17:00:00.000000000-07:00","POINT (-122.438460695 37.77288343)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
"57","60","VALLEJO ST.","N","W. HYDE ST.","2","695-97","FROM 116' TO 125' W. HYDE ST., 9","1997-07-27T17:00:00.000000000-07:00","POINT (-122.419408421 37.797355066)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"123","95","FREDERICK ST","S","E. ARGUELLO ST","10","73-04","FROM THE EAST END TO 8 FEET WESTERLY","1899-12-29T16:00:00.000000000-08:00","POINT (-122.455202031 37.765945503)","2018-02-12T20:44:25.000000000-08:00","Inner Sunset","8"
"55","40","PINE ST.","S","E. DIVISADERO ST.","3","1003-98","FROM 17' TO 30' E. DIVISADERO ST","1998-12-10T16:00:00.000000000-08:00","POINT (-122.439688771 37.787089451)","2018-02-09T23:59:20.000000000-08:00","Pacific Heights","2"
"98","90","DOLORES ST","E","S. DUNCAN","3","654-04","DUNCAN ST TO A POINT 19 FEET SOUTHER","1899-12-29T16:00:00.000000000-08:00","POINT (-122.42443361 37.746008677)","2018-02-09T23:59:20.000000000-08:00","Noe Valley","8"
"89","0","20TH ST","S","3635 AND 3641 20TH ST","3",,"BETWEEN THE 2 DRIVEWAYS","1899-12-29T16:00:00.000000000-08:00","POINT (-122.422129883 37.758358519)","2018-02-10T00:05:34.000000000-08:00","Mission","9"
"118","0","HARRIET ST","W","N. BRYANT ST","12","243-06","245 FEET TO 295 FEET N. OF BRYANT","2006-02-27T16:00:00.000000000-08:00","POINT (-122.403461026 37.775718202)","2018-02-12T20:33:09.000000000-08:00","South of Market","6"
"15","89","DOLORES ST","E","E. DOLORESST","2","196-05","FROM EBETWEEN 401AND 405 DOLORES ST","1968-03-23T20:20:38.400000000-08:00","POINT (-122.426343187 37.762841553)","2018-02-09T23:59:20.000000000-08:00","Castro/Upper Market","8"
"69","0","MONTGOMERY ST","E","N OF ALTA","1","10-128","10 TO 17 FT N OF ALTA","1899-12-29T16:00:00.000000000-08:00","POINT (-122.404422432 37.801605969)","2018-02-09T23:59:20.000000000-08:00","North Beach","3"
"133","15","CHESTNUT ST","S","W. LARKIN ST.","1","98-96","FROM 18' TO 21.5' W. LARKIN ST.","1996-02-01T16:00:00.000000000-08:00","POINT (-122.421766142 37.802569128)","2018-02-12T20:36:09.000000000-08:00","Russian Hill","3"
"28","0","SHOTWELL ST","W","908 SHOTWELL ST","2","474-05","BETWEEN 908 AND 910 SHOTWELL ST","2005-07-14T17:00:00.000000000-07:00","POINT (-122.415516347 37.753844802)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"132","30","FRANCISCO ST","S","S. FRANCISCO ST.","2","196-05","BETWEEN DRIVEWAYS OF 1567-1575","2005-04-13T17:00:00.000000000-07:00","POINT (-122.430563006 37.802300142)","2018-02-12T20:41:04.000000000-08:00","Marina","2"
"44","0","RUSS ST","W","NORTH OF FOLSOM","1","11-117","150 TO 153 FT NORTH OF FOLSOM","1899-12-29T16:00:00.000000000-08:00","POINT (-122.407356828 37.777987433)","2018-02-12T20:49:40.000000000-08:00","South of Market","6"
"112","52","TAYLOR ST.","W","S. VALLEJO ST.","2","57-97","FROM 15' TO 22' N. O THE SOUTH P","1997-01-30T16:00:00.000000000-08:00","POINT (-122.413743309 37.797318963)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"97","83","SANCHEZ ST","W","N. 16TH ST","3","730-93","FROM 16TH ST TO APPROX. 13 FEET NORT","1899-12-29T16:00:00.000000000-08:00","POINT (-122.431033786 37.764576315)","2018-02-09T23:59:20.000000000-08:00","Castro/Upper Market","8"
"53","97","BAKER ST","E","N. HAYES ST","1","390-04","BETWEEN 420 AND 430 DRIVEWAYS","1899-12-29T16:00:00.000000000-08:00","POINT (-122.441006129 37.774958648)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"108","99","PAGE ST.","N","936 PAGE ST","2","60-05","BETWEEN DRIVEWAYS OF  940 and 932","2005-01-09T16:00:00.000000000-08:00","POINT (-122.436916765 37.772370424)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
"25","0","NORFOLK ST","S","55 NORFOLK ST","2","548-05","BETWEEN 49 AND 51","2005-08-14T17:00:00.000000000-07:00","POINT (-122.413572639 37.770860492)","2018-02-09T23:59:20.000000000-08:00","Mission","6"
"92","0","FILBERT ST","S","EAST OF LAGUNA ST","3",,"FROM 1885 AND 1879 FILBERT","1899-12-29T16:00:00.000000000-08:00","POINT (-122.430328377 37.79859262)","2018-02-10T00:00:10.000000000-08:00","Marina","2"
"75","0","KISSLING ST","SS","EAST OF 11TH ST","3",,"ADDRESSES 57/59/61","1899-12-29T16:00:00.000000000-08:00","POINT (-122.414473875 37.772999082)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"135","99","06TH AVE","E","S. BALBOA ST","1","390-04","1 SPACE BETWEEN 620 AND 624 DRIVEWAY","1899-12-29T16:00:00.000000000-08:00","POINT (-122.463836099 37.776842596)","2018-02-12T20:45:39.000000000-08:00","Inner Richmond","1"
"128","14","CENTRAL AVE","E","N. FULTON ST.","4","899-98","FROM 36' TO 50' N. FULTON ST. ,","1998-11-05T16:00:00.000000000-08:00","POINT (-122.444722174 37.776356379)","2018-02-12T20:36:06.000000000-08:00","Lone Mountain/USF","2"
"105","32","LONDON ST.","E","S. 335-337 LONDON ST.","3","951-00","FROM 13' TO 23.5' S. OF NORTH PR","2000-11-08T16:00:00.000000000-08:00","POINT (-122.434327526 37.723733364)","2018-02-09T23:59:20.000000000-08:00","Excelsior","11"
"14","88","DOLORES ST","W","N. 28TH ST","4","73-04","FROM 8 FEET TO 22 FEET N. OF 28TH ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.426587001 37.768882885)","2018-02-09T23:59:20.000000000-08:00","Mission","8"
"120","9","03RD AVE","E","362-358 3RD AVE.","3","1033-94","FROM 6' S OF N. PROPERTY LINE OF","1994-12-22T16:00:00.000000000-08:00","POINT (-122.461008644 37.78182817)","2018-02-12T20:26:20.000000000-08:00","Inner Richmond","1"
"5","75","HAYES ST","N","E. BRODERICK ST","2","532-02","BTWN DW FOR #1366&1370 HAYES(12'ZONE","2002-08-15T17:00:00.000000000-07:00","POINT (-122.43893585 37.774936149)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"79","0","GOLDEN GATE AVE","N","E OF DIVISADERO ST","2","5018-12","BTWN (1674-1680) GOLDEN GATE AVE","2012-09-25T17:00:00.000000000-07:00","POINT (-122.43814059 37.778958527)","2018-02-09T23:59:20.000000000-08:00","Western Addition","5"
"7","79","GREEN ST","S","E. MONTGOMERY","9","75-03","FROM MONTGOMERY TO 31.5' EASTERLY","1899-12-29T16:00:00.000000000-08:00","POINT (-122.403962298 37.800045371)","2018-02-09T23:59:20.000000000-08:00","North Beach","3"
"136","19","FILBERT ST","S","SANSOME ST","3","246-92","Filbert, S, 60 to 68 ft W of Sansome","2016-05-05T17:00:00.000000000-07:00","POINT (-122.403233292 37.802073982)","2018-02-12T20:40:25.000000000-08:00","North Beach","3"
"48","12","CALIFORNIA ST","N","E. CUSHMAN ST.","5","953-95","FROM CUSHMAN ST. TO 18' EASTERLY","1995-11-19T16:00:00.000000000-08:00","POINT (-122.411317998 37.791898071)","2018-02-12T20:26:23.000000000-08:00","Nob Hill","3"
"27","0","SHOTWELL ST","E","339 SHOTWELL ST","6","417-05","BETWEEN 337 AND 339","2005-05-19T17:00:00.000000000-07:00","POINT (-122.416028873 37.763489355)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"91","0","07TH ST","W","W. OF 7TH ST","5",,"93 FEET TO 112 FEET N. OF TOWNSEND","2007-01-22T16:00:00.000000000-08:00","POINT (-122.402154348 37.771645459)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"124","100","07TH STREET","W","N. TOWNSEND ST","6","654-04","FROM 76 FEET TO 97 FEET NORTH OF TOW","1899-12-29T16:00:00.000000000-08:00","POINT (-122.402091422 37.771981769)","2018-02-12T20:49:02.000000000-08:00","South of Market","6"
"32","0","TAYLOR ST","E","E. OF TAYLOR ST","6","456-07","FROM PINE ST TO 25 FEET SOUTH","2007-08-06T17:00:00.000000000-07:00","POINT (-122.412097185 37.790498276)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"94","0","07TH ST","W","NORTH OF KING ST","11","5567-16","10.5 TO 53FT NORTH OF KING ST","2016-03-03T16:00:00.000000000-08:00","POINT (-122.401130423 37.771236375)","2018-02-10T00:04:36.000000000-08:00","Mission Bay","6"
"20","96","FREDERICK ST","N","W. DELMAR","2",,"FROM DELMAR STREET 9FEET WESTERLY","1899-12-29T16:00:00.000000000-08:00","POINT (-122.44573867 37.76739751)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
